Date,Close
01-Jan-20,12182.5
31-Dec-19,12168.45
30-Dec-19,12255.85
27-Dec-19,12245.8
26-Dec-19,12126.55
24-Dec-19,12214.55
23-Dec-19,12262.75
20-Dec-19,12271.8
19-Dec-19,12259.7
18-Dec-19,12221.65
16-Dec-19,12053.95
13-Dec-19,12086.7
12-Dec-19,11971.8
06-Dec-19,11921.5
02-Dec-19,12048.2
29-Nov-19,12056.05
28-Nov-19,12151.15
27-Nov-19,12100.7
26-Nov-19,12037.7
25-Nov-19,12073.75
22-Nov-19,11914.4
21-Nov-19,11968.4
20-Nov-19,11999.1
19-Nov-19,11940.1
18-Nov-19,11884.5
15-Nov-19,11895.45
14-Nov-19,11872.1
13-Nov-19,11840.45
11-Nov-19,11913.45
08-Nov-19,11908.15
07-Nov-19,12012.05
06-Nov-19,11966.05
05-Nov-19,11917.2
04-Nov-19,11941.3
31-Oct-19,11877.45
30-Oct-19,11844.1
29-Oct-19,11786.85
27-Oct-19,11627.15
25-Oct-19,11583.9
24-Oct-19,11582.6
23-Oct-19,11604.1
22-Oct-19,11588.35
18-Oct-19,11661.85
17-Oct-19,11586.35
16-Oct-19,11464
15-Oct-19,11428.3
14-Oct-19,11341.15
11-Oct-19,11305.05
10-Oct-19,11234.55
09-Oct-19,11313.3
07-Oct-19,11126.4
04-Oct-19,11174.75
03-Oct-19,11314
01-Oct-19,11359.9
30-Sep-19,11474.45
27-Sep-19,11512.4
26-Sep-19,11571.2
25-Sep-19,11440.2
24-Sep-19,11588.2
19-Sep-19,10704.8
18-Sep-19,10840.65
17-Sep-19,10817.6
16-Sep-19,11003.5
13-Sep-19,11075.9
12-Sep-19,10982.8
11-Sep-19,11035.7
09-Sep-19,11003.05
06-Sep-19,10946.2
05-Sep-19,10847.9
04-Sep-19,10844.65
03-Sep-19,10797.9
30-Aug-19,11023.25
29-Aug-19,10948.3
28-Aug-19,11046.1
27-Aug-19,11105.35
26-Aug-19,11057.85
23-Aug-19,10829.35
22-Aug-19,10741.35
21-Aug-19,10918.7
20-Aug-19,11017
19-Aug-19,11053.9
16-Aug-19,11047.8
14-Aug-19,11029.4
13-Aug-19,10925.85
09-Aug-19,11109.65
08-Aug-19,11032.45
07-Aug-19,10855.5
06-Aug-19,10948.25
05-Aug-19,10862.6
02-Aug-19,10997.35
01-Aug-19,10980
30-Jul-19,11085.4
29-Jul-19,11189.2
26-Jul-19,11284.3
25-Jul-19,11252.15
24-Jul-19,11271.3
23-Jul-19,11331.05
22-Jul-19,11346.2
19-Jul-19,11419.25
18-Jul-19,11596.9
17-Jul-19,11687.5
16-Jul-19,11662.6
15-Jul-19,11588.35
12-Jul-19,11552.5
11-Jul-19,11582.9
10-Jul-19,11498.9
09-Jul-19,11555.9
08-Jul-19,11558.6
05-Jul-19,11811.15
04-Jul-19,11946.75
03-Jul-19,11916.75
02-Jul-19,11910.3
01-Jul-19,11865.6
28-Jun-19,11788.85
27-Jun-19,11841.55
26-Jun-19,11847.55
25-Jun-19,11796.45
24-Jun-19,11699.65
21-Jun-19,11724.1
20-Jun-19,11831.75
19-Jun-19,11691.45
18-Jun-19,11691.5
17-Jun-19,11672.15
14-Jun-19,11823.3
13-Jun-19,11914.05
12-Jun-19,11906.2
11-Jun-19,11965.6
10-Jun-19,11922.7
07-Jun-19,11870.65
06-Jun-19,11843.75
04-Jun-19,12021.65
03-Jun-19,12088.55
31-May-19,11922.8
30-May-19,11945.9
29-May-19,11861.1
28-May-19,11928.75
27-May-19,11924.75
24-May-19,11844.1
23-May-19,11657.05
22-May-19,11737.9
21-May-19,11709.1
20-May-19,11828.25
17-May-19,11407.15
16-May-19,11257.1
15-May-19,11157
14-May-19,11222.05
13-May-19,11148.2
10-May-19,11278.9
09-May-19,11301.8
08-May-19,11359.45
07-May-19,11497.9
06-May-19,11598.25
03-May-19,11712.25
02-May-19,11724.75
30-Apr-19,11748.15
26-Apr-19,11754.65
25-Apr-19,11641.8
24-Apr-19,11726.15
23-Apr-19,11575.95
22-Apr-19,11594.45
18-Apr-19,11752.8
16-Apr-19,11787.15
15-Apr-19,11690.35
12-Apr-19,11643.45
11-Apr-19,11596.7
10-Apr-19,11584.3
09-Apr-19,11671.95
08-Apr-19,11604.5
05-Apr-19,11665.95
04-Apr-19,11598
03-Apr-19,11643.95
02-Apr-19,11713.2
01-Apr-19,11669.15
29-Mar-19,11623.9
28-Mar-19,11570
27-Mar-19,11445.05
26-Mar-19,11483.25
25-Mar-19,11354.25
22-Mar-19,11456.9
20-Mar-19,11521.05
19-Mar-19,11532.4
18-Mar-19,11462.2
15-Mar-19,11426.85
14-Mar-19,11343.25
13-Mar-19,11341.7
12-Mar-19,11301.2
11-Mar-19,11168.05
08-Mar-19,11035.4
07-Mar-19,11058.2
06-Mar-19,11053
05-Mar-19,10987.45
01-Mar-19,10863.5
28-Feb-19,10792.5
27-Feb-19,10806.65
26-Feb-19,10835.3
25-Feb-19,10880.1
22-Feb-19,10791.65
21-Feb-19,10789.85
20-Feb-19,10735.45
19-Feb-19,10604.35
18-Feb-19,10640.95
15-Feb-19,10724.4
14-Feb-19,10746.05
13-Feb-19,10793.65
12-Feb-19,10831.4
11-Feb-19,10888.8
08-Feb-19,10943.6
07-Feb-19,11069.4
06-Feb-19,11062.45
05-Feb-19,10934.35
04-Feb-19,10912.25
01-Feb-19,10893.65
31-Jan-19,10830.95
30-Jan-19,10651.8
29-Jan-19,10652.2
28-Jan-19,10661.55
25-Jan-19,10780.55
24-Jan-19,10849.8
23-Jan-19,10831.5
22-Jan-19,10922.75
21-Jan-19,10961.85
18-Jan-19,10906.95
17-Jan-19,10905.2
16-Jan-19,10890.3
15-Jan-19,10886.8
14-Jan-19,10737.6
11-Jan-19,10794.95
10-Jan-19,10821.6
09-Jan-19,10855.15
08-Jan-19,10802.15
07-Jan-19,10771.8
04-Jan-19,10727.35
03-Jan-19,10672.25
02-Jan-19,10792.5
01-Jan-19,10910.1
